panel,agent,scenario,opponent,role,advantage,concealing,score
stress,v4.3,Grocery,ConcederTBNegotiator,first,0.5981481481481482,1.0,1.598148148148148
stress,v4.3,Grocery,ConcederTBNegotiator,second,0.638888888888889,1.0,1.6388888888888886
stress,v4.3,Grocery,LinearTBNegotiator,first,0.6111111111111112,1.0,1.6111111111111114
stress,v4.3,Grocery,LinearTBNegotiator,second,0.7500000000000001,1.0,1.75
stress,v4.3,Grocery,ToughNegotiator,first,0.388888888888889,1.0,1.3888888888888886
stress,v4.3,Grocery,ToughNegotiator,second,0.47222222222222227,1.0,1.4722222222222223
stress,v4.3,Grocery,TimeBasedNegotiator,first,0.7444444444444446,1.0,1.7444444444444447
stress,v4.3,Grocery,TimeBasedNegotiator,second,0.7500000000000001,1.0,1.75
stress,v4.3,Grocery,AspirationNegotiator,first,0.7444444444444446,1.0,1.7444444444444447
stress,v4.3,Grocery,AspirationNegotiator,second,0.7500000000000001,1.0,1.75
stress,v4.3,Grocery,HybridNegotiator,first,0.49444444444444446,1.0,1.4944444444444445
stress,v4.3,Grocery,HybridNegotiator,second,0.6370370370370372,1.0,1.637037037037037
stress,v4.3,Grocery,RandomNegotiator,first,0.22222222222222224,1.0,1.2222222222222223
stress,v4.3,Grocery,RandomNegotiator,second,0.5981481481481482,1.0,1.598148148148148
stress,v4.3,Grocery,NaiveTitForTatNegotiator,first,0.5481481481481483,0.6242647954216299,1.172412943569778
stress,v4.3,Grocery,NaiveTitForTatNegotiator,second,0.6259259259259259,0.6388484623696925,1.2647743882956184
stress,v4.3,Grocery,SimpleTitForTatNegotiator,first,0.5092592592592593,0.6303978759249121,1.1396571351841716
stress,v4.3,Grocery,SimpleTitForTatNegotiator,second,0.6703703703703704,0.6423036054613724,1.312673975831743
